Location,Experience,Job Level,Industry,Employment Type,Welfare,Job Requirements,Follower,Salary
Hồ Chí Minh,0.0,Employee,"['post', 'telecommunications', 'customer', 'service']",Official,"['laptop', 'insurance', 'travel', 'allowance', 'bonus', 'health', 'care', 'training', 'seniority', 'annual', 'leave']","{'required', 'long', 'higher', 'experience', 'work', 'good', 'graduate', 'attitude', 'want', 'high', 'word', 'malefemale', 'stutter', 'need', 'voice', 'school', 'appearance', 'major', 'use', 'age', 'know', 'term', 'pleasant', 'lisp'}",11338,9800000
Đồng Nai,1.5,Employee,"['restaurant', 'hotel']",Official,"['insurance', 'travel', 'overseas', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'annual', 'leave']","{'skills', 'kitchen', 'worked', 'experience', 'organization', 'given', 'neat', 'industrial', 'careful', 'work', 'style', 'good', 'priority', 'high', 'minimum', 'certificate', 'school', 'graduated', 'candidates', 'clean', 'main', 'arts', 'catering', 'schools', 'love', 'culinary', 'chef', 'years'}",3654,10500000
Đà Nẵng,0.0,Employee,"['consulting', 'customer', 'service', 'accounting', 'auditing']",Official,"['laptop', 'insurance', 'travel', 'allowance', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'business', 'trip', 'annual', 'leave', 'sports', 'club']","{'required', 'thanks', 'round', 'skills', 'managersexperts', 'work', 'signing', 'professional', 'promotion', 'upon', 'proud', 'months', 'twice', 'degree', 'immediately', 'office', 'programs', 'enjoy', 'overall', 'banking', 'interview', 'waiting', 'students', 'communicate', 'participate', 'corporate', 'apply', 'age', 'better', 'roadmap', 'year', 'college', 'march', 'regardless', 'process', 'misa', 'experience', 'capacity', 'benefits', 'empowered', 'software', 'environment', 'solid', 'vacations', 'picture', 'interns', 'starting', 'university', 'fully', 'believe', 'equipped', 'equipment', 'marriage', 'june', 'phone', 'easytolisten', 'trained', 'talent', 'major', 'always', 'based', 'promoted', 'key', 'development', 'like', 'becoming', 'trusted', 'principlesfinancial', 'april', 'become', 'welltrained', 'old', 'years', 'official', 'birthdays', 'september', 'technology', 'knowledge', 'achieved', 'processes', 'accent', 'paid', 'staff', 'working', 'employee', 'day', 'regular', 'auditing', 'local', 'graduated', 'childbirth', 'award', 'success', 'candidates', 'learningusing', 'headset', 'contract', 'colleagues', 'accompanied', 'holidays', 'clear', 'piece', 'bear', 'maximize', 'given', 'yearend', 'lisp', 'priority', 'accounting', 'career', 'supported', 'attractive', 'teambuilding', 'strong', 'finance', 'foundation', 'voice', 'version', 'online', 'spacious', 'tet', 'month', 'successes', 'computer', 'puzzle', 'ability', 'checkups', 'golden', 'every', 'customer', 'consulting', 'makes'}",72,80000000
Long An,3.0,Leader,"['production', 'operations', 'interior', 'exterior']",Official,"['insurance', 'travel', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'seniority', 'allowance']","{'higher', 'experience', 'using', 'flexible', 'given', 'careful', 'work', 'computers', 'good', 'attitude', 'priority', 'high', 'office', 'progressive', 'communication', 'quick', 'school', 'graduated', 'proficient', 'old', 'years'}",49,10000000
Hà Nội,0.0,Employee,"['translation', 'interpretation', 'biotechnology']",Official,"['insurance', 'allowance', 'bonus', 'health', 'care', 'training', 'seniority', 'annual', 'leave']","{'skills', 'higher', 'due', 'using', 'agile', 'calls', 'face', 'errorfree', 'high', 'communication', 'voice', 'school', 'goodlooking', 'graduated', 'appearance', 'job', 'images', 'computer', 'qualification', 'confident', 'nature', 'basic', 'make', 'proficient'}",11338,7000000
Đồng Nai,1.5,Employee,"['education', 'training']",Official,"['insurance', 'travel', 'overseas', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'annual', 'leave']","{'skills', 'psychology', 'experience', 'capacity', 'tasks', 'plus', 'child', 'good', 'high', 'communication', 'certificate', 'degrees', 'graduated', 'assigned', 'ready', 'education', 'passionate', 'pedagogical', 'emilia', 'contribute', 'preschool', 'montessori', 'reggio', 'accept', 'certificates'}",3654,10000000
Hồ Chí Minh,2.0,Employee,"['law', 'legal', 'banking', 'insurance']",Official,"['laptop', 'insurance', 'travel', 'allowance', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'annual', 'leave', 'sports', 'club']","{'detail', 'skills', 'experience', 'litigation', 'legalcompliance', 'department', 'llb', 'knowledge', 'heads', 'verbal', 'advice', 'firm', 'written', 'managing', 'authority', 'laws', 'matters', 'communication', 'companybank', 'dealing', 'strong', 'advantage', 'least', 'demonstrate', 'orally', 'able', 'variety', 'management', 'highly', 'position', 'court', 'law', 'industry', 'level', 'success', 'equivalent', 'senior', 'oriented', 'issues', 'writing', 'bachelor', 'technical', 'conducting', 'government', 'legal', 'ability', 'multitasks', 'independent', 'provide', 'compliance', 'handle', 'years'}",0,17000000
Hà Nội,0.0,Employee,"['sales', 'business', 'executive', 'management', 'electrical', 'electronics', 'refrigeration']",Official,"['insurance', 'travel', 'allowance', 'shuttle', 'bus', 'overseas', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'business', 'trip', 'seniority', 'sports', 'club']","{'official', 'skills', 'psychology', 'home', 'common', 'building', 'work', 'good', 'professional', 'months', 'office', 'malefemale', 'programs', 'company', 'friendly', 'minimum', 'customer', 'goodlooking', 'continuously', 'periodic', 'customers', 'presentation', 'sales', 'law', 'candidates', 'expenses', 'participate', 'electronics', 'colleagues', 'party', 'laptop', 'accumulated', 'meet', 'holiday', 'understanding', 'large', 'culture', 'dynamic', 'many', 'million', 'labor', 'enthusiastic', 'experience', 'capacity', 'social', 'revenue', 'benefits', 'workplace', 'style', 'birthday', 'environment', 'sharp', 'th', 'receive', 'allowances', 'order', 'unemployment', 'communication', 'teambuilding', 'regulations', 'advantage', 'guided', 'happy', 'employees', 'vacation', 'trained', 'annual', 'improve', 'according', 'review', 'like', 'month', 'period', 'bonuses', 'fixed', 'confident', 'without', 'ability', 'love', 'responsible', 'apprenticeship', 'probation'}",1836,13200000
Hải Phòng,5.0,Employee,"['sales', 'business', 'import', 'export', 'purchasing', 'materials']",Official,"['insurance', 'travel', 'bonus', 'health', 'care', 'training', 'salary', 'increase']","{'skills', 'requires', 'positively', 'experience', 'rich', 'knowledge', 'plus', 'take', 'base', 'well', 'chemical', 'good', 'work', 'bachelors', 'conditions', 'aggressive', 'packaging', 'suppliers', 'vietnamese', 'working', 'starter', 'raw', 'multinational', 'procurement', 'vietnam', 'southeast', 'degree', 'company', 'cost', 'communication', 'structure', 'category', 'results', 'english', 'market', 'chinese', 'able', 'project', 'management', 'minimal', 'initiative', 'integrity', 'challenges', 'fluent', 'supervision', 'oriented', 'timelines', 'know', 'location', 'self', 'business', 'analytical', 'trends', 'materials', 'etc', 'independent', 'preferred', 'asia', 'related', 'resources', 'fmcg', 'years'}",42,20000000
Hồ Chí Minh,0.0,Employee,"['sales', 'business']",Official,"['insurance', 'travel', 'bonus', 'health', 'care', 'training', 'salary', 'increase']","{'hasaki', 'enthusiastic', 'worked', 'higher', 'experience', 'bright', 'given', 'work', 'graduate', 'requirements', 'salesperson', 'ba', 'taller', 'priority', 'hardworking', 'brands', 'high', 'beautiful', 'progressive', 'products', 'advantage', 'school', 'appearance', 'beauty', 'knowledgeable', 'skin', 'box', 'without', 'stores', 'acne', 'pharmaceutical', 'watson', 'cosmetic'}",286,11000000
Long An,1.5,Employee,"['accounting', 'auditing', 'statistics']",Official,"['insurance', 'allowance', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'business', 'trip', 'annual', 'leave']","{'skills', 'higher', 'high', 'production', 'document', 'knowledge', 'computer', 'record', 'school', 'statistics', 'graduated', 'keeping', 'management', 'proficient'}",753,80000000
Hà Nội,0.0,Employee,"['security', 'protection', 'furniture']",Official,"['insurance', 'allowance', 'bonus', 'health', 'care', 'training', 'seniority', 'annual', 'leave']","{'required', 'skills', 'higher', 'experience', 'right', 'work', 'requirements', 'profession', 'degree', 'intermediate', 'starting', 'communication', 'need', 'available', 'quick', 'received', 'goodlooking', 'appearance', 'trained', 'major', 'job', 'confident', 'salary'}",11338,75000000
Thanh Hóa,0.0,Employee,"['sales', 'business', 'banking', 'finance', 'investment']",Official,"['insurance', 'travel', 'allowance', 'overseas', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'business', 'trip', 'seniority', 'annual', 'leave']","{'higher', 'experience', 'economics', 'value', 'given', 'common', 'negotiation', 'good', 'software', 'results', 'priority', 'outlook', 'risk', 'word', 'degree', 'office', 'update', 'bring', 'university', 'products', 'services', 'regularly', 'excel', 'recognizing', 'techniques', 'finance', 'regulations', 'emotions', 'credit', 'practices', 'banking', 'general', 'local', 'selling', 'customers', 'sales', 'effectively', 'statement', 'bank', 'proficiency', 'candidates', 'apply', 'development', 'know', 'knowing', 'lending', 'relationships', 'achieve', 'trends', 'positions', 'monitor', 'etc', 'understanding', 'analysis', 'communicating', 'build', 'controlling', 'financial', 'maximum', 'evaluate', 'ratings', 'manage', 'consulting'}",25299,16200000
Đồng Nai,1.5,Employee,"['education', 'training']",Official,"['insurance', 'travel', 'overseas', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'annual', 'leave']","{'teaching', 'skills', 'experience', 'pedagogyforeign', 'communication', 'pedagogyteaching', 'advantage', 'certificatetoeicieltstoefl', 'language', 'good', 'graduated'}",3654,10000000
Bắc Giang,2.5,Employee,"['accounting', 'auditing', 'construction']",Official,"['laptop', 'insurance', 'travel', 'allowance', 'shuttle', 'bus', 'overseas', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'business', 'trip', 'seniority', 'annual', 'leave', 'sports', 'club']","{'higher', 'experience', 'using', 'technology', 'control', 'similar', 'knowledge', 'careful', 'work', 'well', 'honest', 'software', 'solid', 'majoring', 'hardworking', 'accounting', 'high', 'office', 'operations', 'minimum', 'information', 'school', 'graduated', 'independently', 'organize', 'position', 'proficient', 'ability', 'responsible', 'team', 'years'}",201,11000000
Thanh Hóa,1.0,Employee,"['banking', 'finance', 'investment']",Official,"['insurance', 'travel', 'allowance', 'overseas', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'business', 'trip', 'seniority', 'annual', 'leave', 'sports', 'club']","{'skills', 'higher', 'recruitment', 'economics', 'tips', 'good', 'software', 'linkedin', 'outlook', 'word', 'degree', 'office', 'update', 'career', 'httpswwwlinkedincomcompanymbbank', 'communication', 'excel', 'finance', 'mb', 'information', 'banking', 'sales', 'follow', 'industry', 'productsservices', 'development', 'college', 'understanding', 'exam', 'page', 'basic', 'instructions', 'proficient'}",25299,18800000
Hồ Chí Minh,0.0,Employee,"['translation', 'interpretation', 'sales', 'business', 'law', 'legal']",Official,"['insurance', 'travel', 'allowance', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'business', 'trip', 'annual', 'leave']","{'flexibly', 'prioritize', 'skills', 'familiar', 'banks', 'supports', 'costs', 'especially', 'persuasion', 'accident', 'work', 'graduate', 'rates', 'fields', 'promotion', 'professional', 'cultural', 'twice', 'office', 'banking', 'gifts', 'sales', 'participate', 'offer', 'persistent', 'year', 'etc', 'listening', 'account', 'free', 'excellently', 'million', 'experience', 'recruits', 'social', 'interest', 'trips', 'benefits', 'exceptional', 'preferential', 'opportunities', 'software', 'environment', 'thn', 'hardworking', 'th', 'shortterm', 'high', 'school', 'days', 'performance', 'phone', 'employees', 'sing', 'companys', 'external', 'monthly', 'specialized', 'ensure', 'new', 'bonuses', 'quarterlyannual', 'courses', 'champion', 'telesales', 'financial', 'lunch', 'basic', 'knowledge', 'good', 'paid', 'staff', 'working', 'dance', 'outlook', 'evaluation', 'company', 'loans', 'linked', 'roads', 'competition', 'law', 'excellent', 'industry', 'applications', 'activities', 'festival', 'solve', 'holidays', 'badminton', 'handle', 'aon', 'competitive', 'dynamic', 'expertise', 'adjustment', 'higher', 'workloads', 'given', 'yearend', 'family', 'sports', 'priority', 'receive', 'word', 'chess', 'attractive', 'communication', 'services', 'unemployment', 'excel', 'regulations', 'appraisal', 'finance', 'vpbank', 'situations', 'internal', 'use', 'according', 'perform', 'football', 'problems', 'month', 'income', 'kpi', 'ability', 'checkups', 'lcb', 'incentive', 'gas', 'volunteer'}",16224,20000000
Long An,7.5,Manager,"['executive', 'management', 'mechanical', 'automotive', 'automation', 'manufacturing', 'production', 'operations']",Official,"['insurance', 'travel', 'allowance', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'business', 'trip', 'annual', 'leave']","{'enthusiastic', 'skills', 'pressure', 'higher', 'experience', 'production', 'organization', 'given', 'male', 'agile', 'older', 'engineering', 'work', 'good', 'mechanical', 'honest', 'software', 'reading', 'priority', 'drawing', 'degree', 'office', 'autocad', 'university', 'communication', 'steel', 'graduated', 'management', 'documents', 'education', 'industry', 'candidates', 'proficient', 'age', 'language', 'computer', 'foreign', 'specialized', 'understanding', 'withstand', 'responsible', 'english', 'years'}",2562,21500000
Hà Nội,0.0,Employee,"['translation', 'interpretation', 'biotechnology', 'agriculture']",Official,"['insurance', 'bonus', 'health', 'care', 'training', 'annual', 'leave']","{'required', 'high', 'experience', 'education', 'thinking', 'level', 'communication', 'positive', 'good', 'school', 'attitude'}",11338,9000000
Hà Nội,0.0,Employee,"['translation', 'interpretation', 'sales', 'business', 'law', 'legal']",Official,"['insurance', 'travel', 'allowance', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'annual', 'leave']","{'flexibly', 'prioritize', 'skills', 'banks', 'knowledge', 'especially', 'persuasion', 'work', 'good', 'graduate', 'signing', 'dance', 'professional', 'promotion', 'cultural', 'months', 'working', 'cost', 'twice', 'office', 'outlook', 'evaluation', 'loans', 'customer', 'banking', 'competition', 'sales', 'law', 'applications', 'participate', 'activities', 'festival', 'contract', 'persistent', 'target', 'roadmap', 'monthlyquarterly', 'solve', 'year', 'full', 'clear', 'badminton', 'listening', 'free', 'handle', 'dynamic', 'expertise', 'million', 'labor', 'adjustment', 'higher', 'experience', 'social', 'trips', 'workloads', 'benefits', 'yearend', 'preferential', 'aoe', 'regime', 'opportunities', 'software', 'environment', 'th', 'hardworking', 'sports', 'shortterm', 'high', 'word', 'welfare', 'attractive', 'communication', 'services', 'debt', 'excel', 'regulations', 'vpbank', 'nguyen', 'tennis', 'school', 'performance', 'phone', 'sing', 'employees', 'situations', 'companys', 'internal', 'use', 'based', 'external', 'trang', 'according', 'participation', 'collection', 'problems', 'completion', 'football', 'vpbanks', 'month', 'support', 'periodically', 'specialized', 'ensure', 'period', 'fixed', 'ability', 'courses', 'preferred', 'lunch', 'incentive', 'basic', 'probation', 'volunteer'}",16224,18800000
Thanh Hóa,0.0,Employee,"['sales', 'business', 'banking', 'finance', 'investment']",Official,"['insurance', 'travel', 'allowance', 'overseas', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'business', 'trip', 'seniority', 'annual', 'leave', 'sports', 'club']","{'higher', 'experience', 'economics', 'value', 'given', 'common', 'negotiation', 'software', 'results', 'priority', 'outlook', 'word', 'degree', 'office', 'bring', 'university', 'products', 'services', 'excel', 'recognizing', 'techniques', 'finance', 'emotions', 'banking', 'general', 'providing', 'customers', 'sales', 'effectively', 'bank', 'proficiency', 'candidates', 'apply', 'development', 'know', 'knowing', 'relationships', 'achieve', 'positions', 'etc', 'understanding', 'communicating', 'build', 'controlling', 'maximum', 'manage', 'consulting'}",0,15500000
Hồ Chí Minh,4.0,Manager,"['executive', 'management', 'sales', 'business', 'real', 'estate']",Official,"['insurance', 'travel', 'allowance', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'business', 'trip', 'annual', 'leave']","{'skills', 'pay', 'supportcustomer', 'knowledge', 'payment', 'work', 'cultural', 'land', 'degree', 'thinking', 'programs', 'malefemale', 'friendly', 'enjoy', 'coherent', 'products', 'estate', 'highest', 'customer', 'experts', 'continuously', 'management', 'get', 'sales', 'southern', 'reputable', 'sell', 'industry', 'problemsolving', 'participate', 'marketingtelesales', 'clear', 'college', 'keppel', 'resource', 'basket', 'least', 'core', 'exploitation', 'higher', 'experience', 'cohesive', 'decisionmaking', 'distributed', 'groups', 'overseas', 'intensive', 'benefits', 'ecopark', 'investors', 'personal', 'integrity', 'best', 'environment', 'commission', 'occurs', 'soon', 'closing', 'communication', 'lead', 'teambuilding', 'operate', 'market', 'vingroup', 'administration', 'competitionperformance', 'employees', 'internal', 'trained', 'honesty', 'values', 'based', 'develop', 'external', 'real', 'train', 'minigames', 'transaction', 'human', 'system', 'fastest', 'iphone', 'fixed', 'ability', 'courses', 'comply', 'time', 'basic', 'product', 'homes', 'ipad', 'years'}",936,10000000
Đồng Nai,1.5,Leader,"['education', 'training']",Official,"['insurance', 'travel', 'overseas', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'annual', 'leave']","{'worked', 'higher', 'experience', 'economics', 'similar', 'given', 'priority', 'degree', 'administration', 'position', 'candidates', 'communicate', 'educational', 'business', 'ability', 'college', 'institutions', 'english', 'years'}",0,10200000
Hồ Chí Minh,0.0,Employee,"['retail', 'wholesale', 'sales', 'business']",Official,"['insurance', 'uniform', 'bonus', 'training', 'salary', 'increase', 'seniority', 'allowance', 'annual', 'leave']","{'field', 'skills', 'kitchen', 'experience', 'interior', 'flexible', 'sanitary', 'given', 'persuasion', 'agile', 'good', 'priority', 'care', 'high', 'office', 'equipment', 'university', 'communication', 'estate', 'willing', 'market', 'go', 'school', 'able', 'graduated', 'customers', 'sales', 'design', 'major', 'use', 'find', 'real', 'computer', 'business', 'college', 'love', 'customer', 'ms'}",0,8500000
Ninh Bình,0.0,Employee,"['sales', 'business', 'banking', 'finance', 'investment']",Official,"['insurance', 'travel', 'allowance', 'overseas', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'business', 'trip', 'seniority', 'annual', 'leave', 'sports', 'club']","{'higher', 'experience', 'economics', 'value', 'given', 'common', 'negotiation', 'software', 'results', 'priority', 'outlook', 'word', 'degree', 'office', 'bring', 'university', 'products', 'services', 'excel', 'recognizing', 'techniques', 'finance', 'emotions', 'banking', 'general', 'providing', 'customers', 'sales', 'effectively', 'bank', 'proficiency', 'candidates', 'apply', 'development', 'know', 'knowing', 'relationships', 'achieve', 'positions', 'etc', 'understanding', 'communicating', 'build', 'controlling', 'maximum', 'manage', 'consulting'}",0,15500000
Phú Yên,1.0,Employee,"['banking', 'finance', 'investment']",Official,"['insurance', 'travel', 'allowance', 'overseas', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'business', 'trip', 'seniority', 'annual', 'leave', 'sports', 'club']","{'skills', 'higher', 'recruitment', 'economics', 'tips', 'given', 'good', 'software', 'linkedin', 'priority', 'outlook', 'word', 'office', 'update', 'career', 'university', 'communication', 'httpswwwlinkedincomcompanymbbank', 'excel', 'finance', 'mb', 'information', 'banking', 'graduated', 'sales', 'follow', 'industry', 'productsservices', 'development', 'etc', 'understanding', 'page', 'basic', 'instructions', 'proficient'}",0,18800000
Hồ Chí Minh,2.0,Employee,"['software', 'hardware', 'network']",Official,"['insurance', 'travel', 'bonus', 'health', 'care', 'training', 'salary', 'increase']","{'skills', 'technology', 'learn', 'solving', 'work', 'proactive', 'good', 'science', 'requirements', 'pmp', 'working', 'degree', 'office', 'microsoft', 'manager', 'minimum', 'discipline', 'certificate', 'presentation', 'management', 'project', 'documents', 'position', 'communicate', 'years', 'thai', 'eager', 'withstand', 'field', 'problem', 'pressure', 'ha', 'experience', 'fluently', 'organization', 'monitoring', 'bachelors', 'software', 'th', 'pgmp', 'word', 'da', 'communication', 'understand', 'excel', 'creative', 'advantage', 'dong', 'information', 'present', 'independently', 'tools', 'job', 'passionate', 'hanoi', 'computer', 'read', 'ability', 'floor', 'related', 'powerpoint', 'time', 'team', 'branch', 'english', 'proficient'}",1517,23800000
Hà Tĩnh,0.0,Employee,"['sales', 'business', 'banking', 'finance', 'investment']",Official,"['insurance', 'travel', 'allowance', 'overseas', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'business', 'trip', 'seniority', 'annual', 'leave', 'sports', 'club']","{'higher', 'experience', 'economics', 'value', 'given', 'common', 'negotiation', 'software', 'results', 'priority', 'outlook', 'word', 'degree', 'office', 'bring', 'university', 'products', 'services', 'excel', 'recognizing', 'techniques', 'finance', 'emotions', 'banking', 'general', 'providing', 'customers', 'sales', 'effectively', 'bank', 'proficiency', 'candidates', 'apply', 'development', 'know', 'knowing', 'relationships', 'achieve', 'positions', 'etc', 'understanding', 'communicating', 'build', 'controlling', 'maximum', 'manage', 'consulting'}",25299,15500000
Bình Dương,1.5,Employee,"['mechanical', 'automotive', 'automation', 'electrical', 'electronics', 'refrigeration', 'maintenance', 'repair']",Official,"['insurance', 'travel', 'allowance', 'shuttle', 'bus', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'business', 'trip', 'seniority', 'annual', 'leave']","{'higher', 'experience', 'similar', 'male', 'degree', 'progressive', 'minimum', 'active', 'graduated', 'position', 'majors', 'gender', 'age', 'qualification', 'year', 'college', 'related', 'old', 'dynamic', 'years'}",19,25000000
Thanh Hóa,0.0,Employee,"['banking', 'finance', 'investment']",Official,"['allowance', 'bonus', 'training']","{'skills', 'higher', 'economics', 'recruitment', 'tips', 'good', 'software', 'linkedin', 'outlook', 'word', 'degree', 'office', 'update', 'career', 'university', 'communication', 'httpswwwlinkedincomcompanymbbank', 'excel', 'finance', 'mb', 'information', 'banking', 'sales', 'follow', 'industry', 'productsservices', 'development', 'understanding', 'page', 'basic', 'instructions', 'proficient'}",0,7500000
Hà Nội,2.0,Employee,"['architecture', 'construction']",Official,"['insurance', 'travel', 'allowance', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'annual', 'leave']","{'saturday', 'accordance', 'week', 'experience', 'economics', 'social', 'pham', 'similar', 'construction', 'bidding', 'benefits', 'package', 'work', 'environment', 'professional', 'majoring', 'th', 'working', 'bach', 'welfare', 'opportunity', 'university', 'unemployment', 'cau', 'regulations', 'giay', 'friday', 'days', 'graduated', 'phone', 'documents', 'contracts', 'position', 'companys', 'law', 'offyear', 'develop', 'vndyear', 'participate', 'age', 'month', 'tet', 'location', 'hanoi', 'van', 'holidays', 'legal', 'monday', 'first', 'related', 'vndmonth', 'lunch', 'time', 'dynamic'}",0,22500000
Hồ Chí Minh,2.0,Employee,"['law', 'legal', 'administration', 'secretarial', 'human', 'resources']",Official,"['laptop', 'insurance', 'travel', 'allowance', 'shuttle', 'bus', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'business', 'trip', 'seniority', 'annual', 'leave']","{'enthusiastic', 'pressure', 'higher', 'experience', 'similar', 'agile', 'careful', 'proactive', 'work', 'good', 'honest', 'high', 'word', 'degree', 'hotel', 'communication', 'public', 'excel', 'administration', 'able', 'management', 'position', 'majors', 'law', 'proficiency', 'college', 'restaurant', 'withstand', 'related', 'responsible', 'human', 'resources', 'least', 'years'}",240,14000000
Hồ Chí Minh,1.0,Leader,"['customer', 'service', 'airlines']",Official,"['laptop', 'insurance', 'travel', 'allowance', 'uniform', 'bonus', 'training', 'salary', 'increase', 'seniority', 'annual', 'leave']","{'break', 'orientation', 'khanh', 'ward', 'shift', 'district', 'work', 'including', 'good', 'lan', 'professional', 'promotion', 'working', 'months', 'degree', 'service', 'minimum', 'willing', 'tan', 'proactively', 'bellsystem', 'periodic', 'competition', 'leadership', 'position', 'law', 'education', 'program', 'binh', 'party', 'year', 'teambuildingtravel', 'college', 'etc', 'shifts', 'pattern', 'dayweek', 'diverse', 'policies', 'quickly', 'labor', 'higher', 'experience', 'cohesive', 'capacity', 'social', 'flexible', 'millionmonth', 'similar', 'benefits', 'yearend', 'regime', 'union', 'conditions', 'environment', 'receive', 'paths', 'hcmc', 'career', 'starting', 'communication', 'useful', 'future', 'hoursday', 'independently', 'hour', 'companys', 'incentives', 'always', 'develop', 'hours', 'according', 'review', 'tet', 'location', 'relationships', 'income', 'funeral', 'serving', 'ability', 'courses', 'think', 'huynh', 'partners', 'time', 'within', 'english', 'frame'}",11338,11000000
Hồ Chí Minh,1.0,Employee,"['sales', 'business', 'pharmaceutical']",Official,"['insurance', 'travel', 'allowance', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'business', 'trip', 'seniority', 'annual', 'leave']","{'skills', 'higher', 'experience', 'learn', 'agile', 'proactive', 'work', 'good', 'honest', 'environment', 'working', 'degree', 'progressive', 'communication', 'willing', 'advantage', 'completely', 'year', 'college', 'pharmaceutical', 'responsible', 'least'}",453,12200000
Hồ Chí Minh,4.0,Leader,"['food', 'beverage', 'restaurant', 'hotel']",Official,"['insurance', 'travel', 'allowance', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'annual', 'leave']","{'many', 'skills', 'experience', 'knowledge', 'organization', 'work', 'good', 'staff', 'chefassistant', 'cooking', 'techniques', 'regions', 'hotels', 'management', 'years', 'head', 'restaurants', 'computer', 'shifts', 'culture', 'culinary', 'chef', 'diverse', 'least', 'proficient'}",1826,12000000
Hưng Yên,1.5,Employee,"['sales', 'business', 'manufacturing', 'operations']",Official,"['insurance', 'travel', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'annual', 'leave']","{'enthusiastic', 'skills', 'experience', 'similar', 'organization', 'good', 'honest', 'word', 'university', 'communication', 'excel', 'quick', 'planning', 'graduated', 'position', 'major', 'years', 'related', 'least', 'proficient'}",18,10500000
Hồ Chí Minh,2.0,Employee,"['marketing', 'retail', 'wholesale', 'sales', 'business']",Official,"['laptop', 'insurance', 'travel', 'allowance', 'shuttle', 'bus', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'business', 'trip', 'seniority', 'annual', 'leave']","{'skills', 'worked', 'experience', 'given', 'district', 'good', 'restauranthotel', 'priority', 'restaurantshotels', 'equipment', 'communication', 'willing', 'japanese', 'selling', 'customers', 'candidates', 'communicate', 'nha', 'ability', 'patient', 'years'}",800,25000000
Nam Định,1.5,Employee,"['sales', 'business', 'translation', 'interpretation', 'education', 'training']",Official,"['insurance', 'travel', 'allowance', 'uniform', 'bonus', 'training', 'salary', 'increase', 'business', 'trip', 'seniority', 'annual', 'leave']","{'official', 'skills', 'higher', 'experience', 'millionmonth', 'social', 'benefits', 'given', 'proactive', 'work', 'good', 'graduate', 'requirements', 'environment', 'professional', 'priority', 'months', 'receive', 'twice', 'office', 'programs', 'starting', 'university', 'communication', 'teambuilding', 'creative', 'regulations', 'equal', 'certificate', 'probationary', 'vacation', 'msnguyet', 'major', 'according', 'participate', 'contact', 'age', 'tet', 'computer', 'holidays', 'year', 'full', 'bonuses', 'college', 'responsible', 'related', 'considered', 'basic', 'english', 'probation', 'dynamic'}",5792,12500000
Hồ Chí Minh,3.0,Employee,"['customer', 'service', 'administrative', 'secretarial', 'biotechnology']",Official,"['insurance', 'travel', 'allowance', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'business', 'trip', 'seniority', 'annual', 'leave']","{'skills', 'pressure', 'city', 'problem', 'experience', 'effective', 'solving', 'organization', 'district', 'negotiation', 'coping', 'minh', 'working', 'professional', 'communication', 'advantage', 'planning', 'economicsbusiness', 'graduated', 'management', 'administrationbiologybiotechnology', 'sales', 'position', 'chi', 'ho', 'etc', 'collegeuniversity', 'time', 'admin'}",451,12000000
